YEAR;MONTH.DISC;DAY.DISC;MONTH.CONT;LONG.DD;LAT.DD
1996.00;7.00;26.00;12.00;-118.75;44.76
1996.00;8.00;26.00;12.00;-118.76;44.75
1996.00;8.00;16.00;12.00;-118.61;44.88
1996.00;8.00;14.00;12.00;-118.58;44.93
1996.00;8.00;13.00;12.00;-118.64;44.85
1996.00;8.00;13.00;12.00;-118.70;44.80
1996.00;8.00;13.00;12.00;-118.70;44.80
1996.00;8.00;13.00;12.00;-122.86;42.37
1996.00;11.00;12.00;12.00;-118.70;44.80
1996.00;8.00;12.00;12.00;-121.03;44.03
1996.00;11.00;10.00;12.00;-119.12;44.63
1996.00;11.00;10.00;12.00;-119.12;44.63
1996.00;8.00;10.00;12.00;-122.58;42.54
1996.00;8.00;7.00;12.00;-121.24;43.90
1996.00;9.00;6.00;12.00;-121.00;44.07
1996.00;10.00;27.00;11.00;-123.03;42.29
1996.00;8.00;24.00;11.00;-122.53;42.58
1996.00;8.00;23.00;11.00;-122.68;42.47
1996.00;10.00;21.00;11.00;-119.17;44.61
1996.00;10.00;21.00;11.00;-119.20;44.59
1996.00;8.00;14.00;11.00;-122.83;42.39
1996.00;8.00;13.00;11.00;-122.54;42.56
1996.00;11.00;12.00;11.00;-121.15;43.97
1996.00;11.00;12.00;11.00;-121.48;43.72
1996.00;11.00;10.00;11.00;-118.81;44.75
1996.00;11.00;10.00;11.00;-119.27;44.58
1996.00;11.00;10.00;11.00;-119.31;44.56
1996.00;11.00;10.00;11.00;-119.31;44.56
1996.00;11.00;10.00;11.00;-119.32;44.56
1996.00;11.00;10.00;11.00;-119.34;44.56
1996.00;8.00;10.00;11.00;-119.88;44.40
1996.00;11.00;9.00;11.00;-117.19;45.58
1996.00;11.00;9.00;11.00;-118.88;44.71
1996.00;11.00;9.00;11.00;-119.37;44.54
1996.00;11.00;9.00;11.00;-122.71;42.44
1996.00;11.00;8.00;11.00;-121.45;43.75
1996.00;11.00;6.00;11.00;-122.60;42.53
1996.00;11.00;3.00;11.00;-121.42;43.76
1996.00;11.00;2.00;11.00;-119.95;44.39
1996.00;7.00;31.00;10.00;-122.58;42.54
1996.00;9.00;30.00;10.00;-117.14;45.62
1996.00;9.00;30.00;10.00;-117.83;45.22
1996.00;7.00;30.00;10.00;-118.29;45.09
1996.00;9.00;30.00;10.00;-118.42;45.02
1996.00;9.00;30.00;10.00;-118.47;45.00
1996.00;9.00;30.00;10.00;-118.54;44.95
1996.00;9.00;30.00;10.00;-119.78;44.42
1996.00;9.00;30.00;10.00;-120.34;44.31
1996.00;9.00;30.00;10.00;-120.92;44.12
1996.00;9.00;30.00;10.00;-121.09;44.00
1996.00;9.00;30.00;10.00;-121.88;43.38
1996.00;9.00;30.00;10.00;-121.88;43.38
1996.00;7.00;30.00;10.00;-122.31;42.78
1996.00;7.00;30.00;10.00;-122.53;42.57
1996.00;7.00;30.00;10.00;-122.70;42.46
1996.00;9.00;30.00;10.00;-122.92;42.36
1996.00;9.00;29.00;10.00;-118.12;45.15
1996.00;9.00;29.00;10.00;-118.66;44.85
1996.00;9.00;29.00;10.00;-119.00;44.66
1996.00;9.00;29.00;10.00;-119.81;44.41
1996.00;9.00;29.00;10.00;-119.90;44.39
1996.00;9.00;29.00;10.00;-120.31;44.31
1996.00;9.00;29.00;10.00;-121.51;43.70
1996.00;9.00;29.00;10.00;-121.73;43.53
1996.00;8.00;29.00;10.00;-122.49;42.60
1996.00;9.00;28.00;10.00;-118.66;44.85
1996.00;10.00;28.00;10.00;-121.27;43.86
1996.00;10.00;28.00;10.00;-121.68;43.57
1996.00;7.00;27.00;10.00;-117.98;45.19
1996.00;8.00;27.00;10.00;-122.34;42.76
1996.00;10.00;27.00;10.00;-123.00;42.31
1996.00;10.00;27.00;10.00;-123.03;42.29
1996.00;10.00;26.00;10.00;-121.28;43.86
1996.00;9.00;26.00;10.00;-121.83;43.41
1996.00;8.00;26.00;10.00;-122.25;42.85
1996.00;8.00;26.00;10.00;-122.29;42.80
1996.00;8.00;26.00;10.00;-122.29;42.80
1996.00;8.00;26.00;10.00;-122.29;42.80
1996.00;8.00;26.00;10.00;-122.39;42.70
1996.00;8.00;26.00;10.00;-122.49;42.60
1996.00;10.00;25.00;10.00;-120.00;44.37
1996.00;9.00;25.00;10.00;-122.12;43.05
1996.00;8.00;25.00;10.00;-122.56;42.54
1996.00;10.00;24.00;10.00;-120.93;44.10
1996.00;9.00;24.00;10.00;-121.07;44.02
1996.00;8.00;24.00;10.00;-121.14;43.97
1996.00;8.00;24.00;10.00;-121.70;43.56
1996.00;8.00;23.00;10.00;-121.15;43.97
1996.00;10.00;23.00;10.00;-121.24;43.90
1996.00;8.00;23.00;10.00;-122.03;43.19
1996.00;8.00;23.00;10.00;-122.09;43.12
1996.00;8.00;23.00;10.00;-122.31;42.79
1996.00;10.00;20.00;10.00;-121.47;43.73
1996.00;10.00;19.00;10.00;-122.05;43.15
1996.00;10.00;17.00;10.00;-116.90;45.76
1996.00;10.00;17.00;10.00;-117.15;45.61
1996.00;10.00;17.00;10.00;-118.36;45.05
1996.00;10.00;17.00;10.00;-121.17;43.97
1996.00;9.00;16.00;10.00;-118.02;45.17
1996.00;10.00;15.00;10.00;-118.10;45.15
1996.00;10.00;15.00;10.00;-122.14;43.02
1996.00;10.00;14.00;10.00;-118.66;44.83
1996.00;10.00;14.00;10.00;-121.92;43.36
1996.00;8.00;13.00;10.00;-122.20;42.93
1996.00;8.00;13.00;10.00;-122.22;42.92
1996.00;8.00;13.00;10.00;-122.22;42.92
1996.00;8.00;13.00;10.00;-122.25;42.86
1996.00;8.00;13.00;10.00;-122.44;42.64
1996.00;8.00;13.00;10.00;-122.44;42.64
1996.00;8.00;13.00;10.00;-122.44;42.64
1996.00;8.00;13.00;10.00;-122.44;42.64
1996.00;8.00;13.00;10.00;-122.44;42.64
1996.00;10.00;12.00;10.00;-120.65;44.24
1996.00;10.00;12.00;10.00;-121.97;43.30
1996.00;10.00;11.00;10.00;-118.19;45.12
1996.00;10.00;11.00;10.00;-118.83;44.73
1996.00;8.00;10.00;10.00;-120.39;44.29
1996.00;10.00;10.00;10.00;-121.00;44.07
1996.00;10.00;10.00;10.00;-121.76;43.49
1996.00;10.00;10.00;10.00;-121.90;43.37
1996.00;10.00;10.00;10.00;-122.24;42.90
1996.00;10.00;10.00;10.00;-122.29;42.83
1996.00;10.00;10.00;10.00;-122.32;42.78
1996.00;10.00;9.00;10.00;-116.59;45.98
1996.00;10.00;9.00;10.00;-118.28;45.09
1996.00;10.00;9.00;10.00;-118.50;44.98
1996.00;10.00;9.00;10.00;-121.49;43.71
1996.00;10.00;9.00;10.00;-121.86;43.40
1996.00;10.00;9.00;10.00;-121.88;43.38
1996.00;10.00;9.00;10.00;-122.00;43.24
1996.00;10.00;9.00;10.00;-122.22;42.92
1996.00;10.00;9.00;10.00;-123.42;42.17
1996.00;10.00;8.00;10.00;-117.30;45.47
1996.00;10.00;8.00;10.00;-121.25;43.90
1996.00;7.00;8.00;10.00;-121.71;43.54
1996.00;10.00;8.00;10.00;-122.51;42.59
1996.00;10.00;8.00;10.00;-123.36;42.20
1996.00;10.00;7.00;10.00;-117.00;45.68
1996.00;10.00;7.00;10.00;-121.88;43.38
1996.00;10.00;6.00;10.00;-120.34;44.31
1996.00;10.00;6.00;10.00;-120.35;44.29
1996.00;10.00;5.00;10.00;-117.27;45.51
1996.00;10.00;5.00;10.00;-121.86;43.39
1996.00;10.00;5.00;10.00;-122.07;43.14
1996.00;10.00;5.00;10.00;-122.15;43.00
1996.00;10.00;5.00;10.00;-122.15;43.00
1996.00;10.00;4.00;10.00;-118.89;44.71
1996.00;10.00;4.00;10.00;-121.59;43.64
1996.00;10.00;4.00;10.00;-121.64;43.59
1996.00;10.00;4.00;10.00;-121.98;43.27
1996.00;10.00;3.00;10.00;-117.27;45.51
1996.00;10.00;3.00;10.00;-118.10;45.15
1996.00;10.00;3.00;10.00;-119.17;44.61
1996.00;10.00;3.00;10.00;-119.31;44.56
1996.00;10.00;3.00;10.00;-121.00;44.07
1996.00;10.00;3.00;10.00;-121.02;44.05
1996.00;10.00;3.00;10.00;-121.42;43.75
1996.00;10.00;3.00;10.00;-121.61;43.63
1996.00;10.00;3.00;10.00;-121.73;43.53
1996.00;8.00;2.00;10.00;-116.58;45.98
1996.00;10.00;2.00;10.00;-121.23;43.92
1996.00;10.00;2.00;10.00;-122.00;43.24
1996.00;10.00;1.00;10.00;-117.76;45.22
1996.00;10.00;1.00;10.00;-118.00;45.19
1996.00;10.00;1.00;10.00;-118.05;45.17
1996.00;10.00;1.00;10.00;-118.58;44.92
1996.00;7.00;31.00;9.00;-118.83;44.75
1996.00;8.00;31.00;9.00;-122.00;43.23
1996.00;8.00;31.00;9.00;-122.03;43.19
1996.00;8.00;31.00;9.00;-122.29;42.82
1996.00;10.00;1.00;10.00;-123.37;42.20
1996.00;8.00;30.00;9.00;-118.44;45.00
1996.00;8.00;30.00;9.00;-119.93;44.39
1996.00;7.00;30.00;9.00;-120.90;44.12
1996.00;7.00;30.00;9.00;-120.90;44.12
1996.00;9.00;30.00;9.00;-121.00;44.07
1996.00;9.00;30.00;9.00;-122.02;43.22
1996.00;9.00;29.00;9.00;-116.58;45.98
1996.00;9.00;29.00;9.00;-116.73;45.88
1996.00;9.00;29.00;9.00;-117.03;45.67
1996.00;8.00;29.00;9.00;-119.41;44.53
1996.00;8.00;29.00;9.00;-121.32;43.82
1996.00;8.00;29.00;9.00;-121.64;43.61
1996.00;8.00;29.00;9.00;-121.95;43.34
1996.00;9.00;29.00;9.00;-121.95;43.33
1996.00;8.00;29.00;9.00;-122.39;42.70
1996.00;8.00;29.00;9.00;-123.70;42.09
1996.00;9.00;28.00;9.00;-120.24;44.32
1996.00;9.00;28.00;9.00;-120.34;44.31
1996.00;9.00;28.00;9.00;-120.37;44.29
1996.00;8.00;28.00;9.00;-120.90;44.12
1996.00;8.00;28.00;9.00;-121.44;43.75
1996.00;8.00;28.00;9.00;-121.58;43.66
1996.00;8.00;28.00;9.00;-121.81;43.44
1996.00;8.00;28.00;9.00;-121.83;43.41
1996.00;8.00;28.00;9.00;-122.07;43.14
1996.00;9.00;28.00;9.00;-122.17;42.97
1996.00;9.00;28.00;9.00;-123.28;42.22
1996.00;8.00;27.00;9.00;-120.61;44.24
1996.00;8.00;27.00;9.00;-120.64;44.24
1996.00;8.00;27.00;9.00;-120.73;44.20
1996.00;9.00;27.00;9.00;-121.63;43.61
1996.00;8.00;27.00;9.00;-121.93;43.36
1996.00;8.00;27.00;9.00;-121.95;43.34
1996.00;8.00;27.00;9.00;-121.97;43.32
1996.00;8.00;27.00;9.00;-122.59;42.53
1996.00;8.00;27.00;9.00;-122.61;42.52
1996.00;8.00;27.00;9.00;-122.63;42.51
1996.00;8.00;26.00;9.00;-118.17;45.14
1996.00;8.00;26.00;9.00;-118.53;44.97
1996.00;8.00;26.00;9.00;-118.68;44.82
1996.00;8.00;26.00;9.00;-118.92;44.68
1996.00;9.00;26.00;9.00;-118.95;44.68
1996.00;9.00;26.00;9.00;-120.07;44.37
1996.00;8.00;26.00;9.00;-120.39;44.29
1996.00;8.00;26.00;9.00;-120.66;44.22
1996.00;8.00;26.00;9.00;-120.78;44.18
1996.00;8.00;26.00;9.00;-120.92;44.12
1996.00;8.00;26.00;9.00;-121.31;43.83
1996.00;8.00;26.00;9.00;-121.39;43.78
1996.00;8.00;26.00;9.00;-121.64;43.59
1996.00;7.00;26.00;9.00;-121.68;43.56
1996.00;8.00;26.00;9.00;-122.09;43.12
1996.00;8.00;26.00;9.00;-122.09;43.10
1996.00;8.00;26.00;9.00;-122.17;42.97
1996.00;8.00;26.00;9.00;-122.19;42.95
1996.00;8.00;26.00;9.00;-122.22;42.92
1996.00;8.00;26.00;9.00;-122.25;42.86
1996.00;8.00;26.00;9.00;-122.25;42.86
1996.00;8.00;26.00;9.00;-122.25;42.86
1996.00;8.00;26.00;9.00;-122.27;42.83
1996.00;8.00;26.00;9.00;-122.27;42.83
1996.00;8.00;26.00;9.00;-122.32;42.78
1996.00;8.00;26.00;9.00;-122.32;42.78
1996.00;8.00;26.00;9.00;-122.34;42.77
1996.00;8.00;26.00;9.00;-122.39;42.70
1996.00;8.00;26.00;9.00;-122.41;42.68
1996.00;8.00;26.00;9.00;-122.42;42.68
1996.00;9.00;26.00;9.00;-122.44;42.65
1996.00;8.00;26.00;9.00;-122.46;42.64
1996.00;8.00;26.00;9.00;-122.47;42.62
1996.00;8.00;26.00;9.00;-122.49;42.61
1996.00;8.00;26.00;9.00;-122.51;42.59
1996.00;8.00;26.00;9.00;-122.58;42.54
1996.00;8.00;26.00;9.00;-122.63;42.50
1996.00;8.00;26.00;9.00;-122.63;42.50
1996.00;8.00;26.00;9.00;-122.68;42.48
1996.00;8.00;26.00;9.00;-122.73;42.44
1996.00;9.00;25.00;9.00;-118.42;45.02
1996.00;7.00;25.00;9.00;-120.83;44.15
1996.00;8.00;25.00;9.00;-121.75;43.52
1996.00;8.00;25.00;9.00;-121.88;43.38
1996.00;8.00;25.00;9.00;-122.14;43.03
1996.00;8.00;25.00;9.00;-122.15;43.00
1996.00;8.00;25.00;9.00;-122.20;42.93
1996.00;8.00;25.00;9.00;-122.34;42.77
1996.00;8.00;25.00;9.00;-122.51;42.59
1996.00;8.00;25.00;9.00;-122.61;42.53
1996.00;9.00;25.00;9.00;-122.68;42.46
1996.00;9.00;24.00;9.00;-117.28;45.49
1996.00;7.00;24.00;9.00;-120.66;44.22
1996.00;7.00;24.00;9.00;-120.86;44.14
1996.00;7.00;24.00;9.00;-120.88;44.12
1996.00;7.00;24.00;9.00;-120.92;44.10
1996.00;8.00;24.00;9.00;-121.56;43.68
1996.00;8.00;24.00;9.00;-121.71;43.54
1996.00;9.00;24.00;9.00;-122.00;43.22
1996.00;8.00;24.00;9.00;-122.54;42.56
1996.00;8.00;24.00;9.00;-122.54;42.56
1996.00;9.00;23.00;9.00;-118.20;45.12
1996.00;8.00;23.00;9.00;-118.54;44.97
1996.00;9.00;23.00;9.00;-121.54;43.68
1996.00;9.00;23.00;9.00;-121.64;43.59
1996.00;8.00;23.00;9.00;-121.66;43.58
1996.00;8.00;23.00;9.00;-122.05;43.15
1996.00;8.00;23.00;9.00;-122.05;43.15
1996.00;8.00;23.00;9.00;-122.07;43.13
1996.00;8.00;23.00;9.00;-122.07;43.13
1996.00;8.00;23.00;9.00;-122.54;42.56
1996.00;8.00;23.00;9.00;-122.54;42.56
1996.00;8.00;23.00;9.00;-122.54;42.56
1996.00;8.00;23.00;9.00;-122.56;42.55
1996.00;8.00;23.00;9.00;-122.59;42.53
1996.00;9.00;22.00;9.00;-119.86;44.40
1996.00;9.00;22.00;9.00;-121.80;43.46
1996.00;9.00;21.00;9.00;-121.78;43.47
1996.00;9.00;20.00;9.00;-121.85;43.41
1996.00;9.00;18.00;9.00;-116.90;45.76
1996.00;9.00;18.00;9.00;-118.56;44.95
1996.00;8.00;18.00;9.00;-118.61;44.88
1996.00;9.00;18.00;9.00;-121.53;43.70
1996.00;9.00;16.00;9.00;-121.63;43.62
1996.00;9.00;16.00;9.00;-121.88;43.37
1996.00;8.00;15.00;9.00;-117.66;45.25
1996.00;7.00;15.00;9.00;-120.61;44.24
1996.00;8.00;14.00;9.00;-118.29;45.09
1996.00;9.00;14.00;9.00;-118.46;45.00
1996.00;8.00;14.00;9.00;-118.49;45.00
1996.00;8.00;14.00;9.00;-118.58;44.93
1996.00;8.00;14.00;9.00;-118.61;44.88
1996.00;8.00;14.00;9.00;-119.58;44.49
1996.00;8.00;14.00;9.00;-120.88;44.13
1996.00;9.00;14.00;9.00;-121.73;43.53
1996.00;8.00;14.00;9.00;-121.81;43.44
1996.00;8.00;14.00;9.00;-122.17;42.97
1996.00;9.00;13.00;9.00;-117.12;45.63
1996.00;9.00;13.00;9.00;-117.31;45.47
1996.00;9.00;13.00;9.00;-117.42;45.41
1996.00;9.00;13.00;9.00;-117.59;45.29
1996.00;9.00;13.00;9.00;-117.68;45.25
1996.00;9.00;13.00;9.00;-117.73;45.24
1996.00;9.00;13.00;9.00;-118.00;45.19
1996.00;9.00;13.00;9.00;-118.24;45.10
1996.00;9.00;13.00;9.00;-118.27;45.09
1996.00;9.00;13.00;9.00;-118.39;45.03
1996.00;9.00;13.00;9.00;-118.41;45.03
